item_id,item_name,year_released,item_type,views
sw0142,"Astromech Droid, R5-D4, Plain Dome",2005,M,0
sw0143,Droid Brain (from TIE/d Fighter),2004,M,0
sw0144,Medical Droid,2005,M,0
sw0145,ASP Droid,2005,M,0
sw0146,Treadwell Droid,2005,M,0
sw0147,R1-G4,2005,M,0
sw0148,"Mace Windu, Non-Light-Up",2006,M,1
sw0149,Dengar,2006,M,0
sw0150,Bespin Guard,2006,M,0
sw0151,IG-88,2006,M,0
sw0152,"Obi-Wan Kenobi - Light Nougat, Dark Orange Hair and Legs, Gold Headset",2005,M,1
sw0153,Ten Numb,2006,M,0
sw0154,"Imperial Officer Captain / Commandant / Commander - Cavalry Kepi, Standard Grin",2006,M,0
sw0155,"Astromech Droid, R2-D5",2006,M,0
sw0156,Mouse Droid MSE-6-series Repair Droid - Black / Dark Bluish Gray,2006,M,0
sw0156a,Mouse Droid MSE-6-series Repair Droid - Black / Light Bluish Gray,2011,M,0
sw0157,Grand Moff Wilhuff Tarkin - Smooth Hair,2006,M,0
sw0158,C-3PO - Chrome Gold SW 30th Anniversary Edition,2007,M,16
sw0159,Anakin Skywalker (Short Legs),2007,M,1
sw0160,Naboo Fighter Pilot - Tan Jacket,2007,M,0
sw0161,C-3PO - Pearl Gold with Pearl Light Gold Hands,2005,M,1
sw0161a,C-3PO - Pearl Gold with Pearl Gold Hands,2005,M,1
sw0162,"Obi-Wan Kenobi - Light Nougat, Dark Orange Hair, Tan Legs, Gold Headset",2007,M,0
sw0163,Kit Fisto,2007,M,0
sw0164,Droideka - Destroyer Droid Copper Top,2007,M,0
sw0165,K-3PO,2007,M,0
sw0166,Imperial Shadow Trooper,1900,M,0
sw0166a,Imperial Shadow Trooper - Short Line on Back,2007,M,0
sw0166b,Imperial Shadow Trooper - Long Line on Back,2009,M,0
sw0167,"Hoth Rebel - Light Nougat Head, White Visor Goggles",2007,M,0
sw0168,"Astromech Droid, R2-R7",2007,M,0
sw0169,Republic Captain,2007,M,0
sw0170,Republic Pilot,2007,M,0
sw0171,"Imperial Probe Droid White Dish Stand, Lever on Top",2007,M,0
sw0172,"Qui-Gon Jinn - Light Nougat Head, Brown Hood and Cape",2007,M,0
sw0172a,"Qui-Gon Jinn - Light Nougat Head with Black Chin Dimple, Brown Hood and Cape",2007,M,0
sw0173,"Obi-Wan Kenobi - Young, Light Nougat, Brown Hood and Cape, Tan Legs",2007,M,4
sw0174,"Obi-Wan Kenobi - Old, Light Nougat",2007,M,0
sw0175,"Princess Leia - Light Nougat, White Dress, Small Eyes",2007,M,0
sw0175a,"Princess Leia - Light Nougat, White Dress, Small Eyes, Smooth Hair",2009,M,1
sw0175b,"Princess Leia - Light Nougat, White Dress, Big Eyes",2008,M,1
sw0176,"Luke Skywalker - Light Nougat, Long Hair, White Tunic, Tan Legs",2007,M,0
sw0177,"AT-AT Driver - Red Imperial Logo, Bluish Grays, Black Head, Stormtrooper Helmet",2007,M,0
sw0178,General Maximillian Veers - Goggles Print and Dark Bluish Gray Helmet,2007,M,0
sw0179,"Han Solo - Light Nougat, Black Vest",2007,M,0
sw0179a,"Han Solo - Light Nougat, Black Vest 2010",2008,M,0
sw0180,Darth Vader Battle Damaged,2008,M,1
sw0181,Starkiller / Galen Marek Darth Vaders Apprentice,2008,M,3
sw0182,Captain Juno Eclipse,2008,M,0
sw0183,"Anakin Skywalker - Large Eyes, Reddish Brown Arms",2008,M,0
sw0184,Battle Droid Commander with Straight Arm and Yellow Torso,2008,M,0
sw0187,Rebel Fleet Trooper / Rebel Scout Trooper,2008,M,0
sw0188,"Imperial Stormtrooper - Black Head, Dotted Mouth Helmet",2007,M,0
sw0188a,"Imperial Stormtrooper - Light Nougat Head, Dotted Mouth Helmet",2006,M,0
sw0189,"Clone Shock Trooper, Coruscant Guard Phase 2 - White Hips, Black Head",2008,M,0
sw0190,IG-100 MagnaGuard Magna Guard / Magna Droid,2008,M,1
sw0191,"Clone Trooper Pilot Phase 1 - Yellow Markings, Large Eyes",2008,M,1
sw0192,Ahsoka Tano Padawan - Tube Top and Belt,2008,M,0
sw0193,Rotta,2008,M,4
sw0194,"Clone Trooper Captain Rex, 501st Legion Phase 1 - Dark Bluish Gray Visor, Pauldron, and Kama, Large Eyes",2008,M,2
sw0195,Asajj Ventress - Dark Blue Torso,2008,M,1
sw0196,"Clone Trooper Commander Cody, 212th Attack Battalion Phase 1 - Dark Bluish Gray Visor, Pauldron, and Kama, Large Eyes",2008,M,2
sw0197,Obi-Wan Kenobi - Large Eyes,2008,M,3
sw0198,Plo Koon,2008,M,2
sw0199,"Sandtrooper - Orange Pauldron Solid, No Survival Backpack, No Dirt Stains, Helmet with Dotted Mouth Pattern and Solid Black Head",2007,M,1
sw0200,"Clone Trooper Phase 1 - Dark Bluish Gray Rangefinder, Large Eyes",2008,M,1
sw0200a,"Clone Trooper Phase 1 - Black Rangefinder, Large Eyes",2010,M,0
sw0201,Clone Trooper Phase 1 - Large Eyes,2008,M,0
sw0202,"Clone Trooper Commander Fox, Coruscant Guard Phase 1 - Dark Bluish Gray Visor, Pauldron, and Kama, Large Eyes",1900,M,1
sw0202a,"Clone Trooper Commander Fox, Coruscant Guard &#40;Phase 1&#41; - Dark Bluish Gray Visor, Pauldron, and Kama, Large Eyes, with Solid Light Bluish Gray Semicircle above Belt",2008,M,0
sw0202b,"Clone Trooper Commander Fox, Coruscant Guard &#40;Phase 1&#41; - Dark Bluish Gray Visor, Pauldron, and Kama, Large Eyes, without Solid Light Bluish Gray Semicircle above Belt",2008,M,0
sw0203,"Clone Trooper Phase 1 - Dark Bluish Gray Visor, Pauldron, and Kama, Large Eyes",2008,M,0
sw0204,Luke Skywalker - Stormtrooper Outfit,2008,M,0
sw0205,Han Solo - Stormtrooper Outfit,2008,M,0
sw0205a,"Han Solo - Light Nougat, Stormtrooper Outfit 2010",2008,M,0
sw0206,"Obi-Wan Kenobi - Old, Light Nougat, Reddish Brown Hood and Cape",2008,M,0
sw0207,Luke Skywalker (Jedi Knight),2008,M,0
sw0208,Imperial Trooper Black Helmet,2008,M,0
sw0208a,Imperial Trooper Light Bluish Gray Helmet,2008,M,1
sw0209,Darth Vader (Death Star torso),2008,M,2
sw0210,"Emperor Palpatine - Light Bluish Gray Head, Black Hands",2008,M,1
sw0211,Interrogation Droid Screwdriver - Narrow Head,2008,M,0
sw0211a,Interrogation Droid Screwdriver - Wide Head,2008,M,0
sw0212,Protocol Droid,2008,M,0
sw0213,"Astromech Droid, R2-Q5",2006,M,0
sw0214,Darth Vader (Imperial Inspection - Eyebrows),2006,M,0
sw0215,Assassin Droid (White),2008,M,0
sw0216,EV-A4-D without Sticke,1900,M,1
sw0216a,EV-A4-D without Sticker,2010,M,0
sw0216s,EV-A4-D with Sticker,2010,M,0
sw0217,"Astromech Droid, R2-D2, Light Bluish Gray Head",2008,M,0
sw0217a,"Astromech Droid, R2-D2, Serving Tray Dark Tan",2013,M,0
sw0218,Darth Vader - Chrome Black,2009,M,0
sw0219,"Yoda (Clone Wars, Gray Hair)",2009,M,1
sw0220,Mace Windu - Large Eyes,2009,M,0
sw0221,Clone Trooper Gunner Phase 1 - Large Eyes,2009,M,0
sw0222,Assassin Droid Elite (Black),2009,M,0
sw0223,"Clone Trooper Phase 1 - Black Visor, Pauldron, and Kama, Large Eyes",2009,M,0
sw0224,Count Dooku - Large Eyes,2009,M,3
sw0225,Pilot Droid,2009,M,0
sw0226,Nahdar Vebb,2010,M,0
sw0227,Rocket Droid Commander Battle,2010,M,0
sw0228,Rocket Battle Droid,2009,M,0
sw0229,Assassin Droid (Silver),2009,M,1
sw0230,Super Battle Droid with Blaster Arm,2009,M,1
sw0231,"Astromech Droid, R7-A7",2009,M,1
sw0232,Darth Vader (Death Star torso - no Eyebrows),2009,M,2
sw0233,Clone Jet Trooper Phase 1 - Large Eyes,2009,M,0
sw0234,"Obi-Wan Kenobi - Young, Light Nougat, Reddish Brown Hood and Cape, Gold Headset",2009,M,0
sw0235,Princess Leia (Endor Outfit),2009,M,2
sw0236,Chief Chirpa (Ewok),2009,M,0
sw0237,Wicket (Ewok),2009,M,0
sw0238,Paploo (Ewok),2009,M,0
sw0239,Endor Rebel Commando - Frown,2009,M,2
sw0240,Endor Rebel Commando - Beard,2009,M,0
sw0241,Onaconda Farr,2009,M,1
sw0242,Nute Gunray,2009,M,0
sw0243,Chancellor Palpatine - Large Eyes,2009,M,0
sw0244,Senate Commando,2009,M,0
sw0244a,Senate Commando - Plain Light Nougat Head,2010,M,0
sw0245,Turk Falso,2009,M,1
sw0246,Hondo Ohnaka,2009,M,3
sw0247,Admiral Ackbar,2009,M,0
sw0248,Mon Calamari Officer,2009,M,0
sw0249,Mon Mothma,2009,M,0
sw0250,"Crix Madine, Dark Tan Hips and Legs",2009,M,0
sw0250a,"Crix Madine, Tan Hips and Legs",2009,M,0
sw0251,Lando Calrissian - General Insignia Sand Blue Legs,2009,M,0
sw0252,"Hoth Rebel - Light Nougat Head, White Visor Snow Goggles",2009,M,0
sw0253,"Han Solo - Light Nougat, Parka Hood, Tan Legs with Holster",2009,M,1
sw0253a,"Han Solo - Light Nougat, Parka Hood, Tan Legs with Holster 2010",2009,M,0
sw0254,"General Grievous - Bent Legs, Tan Armor",2010,M,0
sw0255,"Astromech Droid, R2-D2, Clone Wars",2009,M,1
sw0256,Captain Antilles,2009,M,1
sw0257,Luke Skywalker (Celebration),2009,M,0
sw0257a,Luke Skywalker (Celebration) - White Pupils,2009,M,1
sw0258,Hoth Officer,2010,M,0
sw0259,Hoth Rebel Trooper Orange Chin Dimple,2010,M,0
sw0260,Zev Senesca,2010,M,0
sw0261,"Imperial Officer with Battle Armor Captain / Commandant / Commander - Dark Bluish Gray Legs, Smirk",2010,M,0
sw0262,"AT-AT Driver - Red Imperial Logo, Bluish Grays, Black Head, Stormtrooper Type 2 Helmet",2010,M,1
sw0263,Anakin Skywalker (Parka),2010,M,0
sw0264,Thi-Sen,2010,M,0
sw0265,Clone Trooper Pilot Captain Jag Phase 2 - Frown,2010,M,0
sw0266,"Clone Trooper Pilot Phase 2 - Sand Blue Arms and Legs, Frown",2010,M,0
sw0267,"Astromech Droid, R4-P44",2010,M,0
sw0268,Imperial TIE Fighter / Defender Pilot,2010,M,0
sw0268a,"Imperial TIE Fighter Pilot - Black Head, Balaclava",2012,M,0
sw0269,Barriss Offee - Black Cape and Hood,2010,M,1
sw0270,Sentry Droid,2010,M,0
sw0271,"Sandtrooper - Black Pauldron Solid, Survival Backpack, No Dirt Stains, Helmet with Dotted Mouth Pattern and Solid Black Head",2010,M,0
sw0272,"Clone Trooper Phase 2 - Dotted Mouth, Black Head",2010,M,0
sw0273,"Luke Skywalker - Light Nougat, Long Hair, White Tunic, Tan Legs, White Glints",2010,M,5
sw0274,"Obi-Wan Kenobi - Old, Light Nougat, White Pupils",2010,M,0
sw0275,Boba Fett - White,2010,M,0
sw0277,Darth Vader (White Pupils),2009,M,0
sw0278,"Han Solo, Reddish Brown Legs without Holster Pattern",2010,M,1
sw0279,"Boba Fett - Pauldron, Helmet, Jet Pack",2010,M,0
sw0280,Bossk - Sand Green,2010,M,0
sw0281,"Clone Trooper V-wing Pilot Phase 2 - Sand Blue Arms and Legs, White Head",2010,M,0
sw0282,2-1B Medical Droid Badge with Letter T Pattern,2010,M,1
sw0283,Anakin Skywalker - Battle Damaged with Darth Vader Helmet,2010,M,1
sw0284,Aayla Secura - Large Eyes,2010,M,0
sw0285,Cad Bane - Dark Bluish Gray Hands and Legs,2010,M,0
sw0286,"Clone Trooper Phase 1 - Black Visor and Pauldron, Large Eyes",2010,M,0
sw0287,Shahan Alama,2010,M,0
sw0288,Senate Commando Captain,2010,M,0
sw0289,General Maximillian Veers - Light Bluish Gray Helmet and Armor,2010,M,0
sw0290,"Han Solo, Reddish Brown Legs with Holster Pattern, Open Jacket",2010,M,0
sw0291,Hoth Rebel Trooper Black Chin Dimple,2010,M,0
sw0292,"Luke Skywalker (Jedi Knight, Pupils)",2010,M,0
sw0293,"Imperial Officer Captain / Commandant / Commander - Cavalry Kepi, Smirk",2010,M,0
sw0294,Imperial Pilot Cap,2010,M,0
sw0295,"Luke Skywalker - Light Nougat, X-Wing Pilot Suit, Detailed Torso and Helmet",2010,M,0
sw0296,Mandalorian Death Watch Warrior,2011,M,1
sw0297,"Clone ARF Trooper Razor, 91st Mobile Reconnaissance Corps Phase 1 - Large Eyes",2011,M,0
sw0298,"Clone Trooper Phase 1 - Sand Green and Lime Markings, Large Eyes",2011,M,0
sw0299,Clone Bomb Squad Trooper Phase 1 - Large Eyes,2011,M,0
sw0300,Battle Droid Pilot with Blue Torso with Tan Insignia,2011,M,0
sw0301,Jar Jar Binks Printed Head,2011,M,1
sw0302,Gungan Soldier Printed Head,2011,M,0
sw0303,"Astromech Droid, R2-Q2 Small Red Dots",2011,M,0
sw0304,Imperial V-wing Pilot,2011,M,0
sw0305,Sugi,2011,M,0
sw0306,Aurra Sing - Large Eyes,2011,M,0
sw0307,Embo,2011,M,0
sw0308,Saesee Tiin,2011,M,0
sw0309,Shaak Ti,2011,M,0
sw0310,Luminara Unduli,2011,M,0
sw0311,DRK-1 Dark Eye Probe Droid Bluish Grays,2008,M,0
sw0312,TX-20 (Tactical Droid),2011,M,1
sw0313,"Astromech Droid, R8-B7",2011,M,0
sw0314,"Clone Trooper Captain Rex, 501st Legion Phase 1 - Dark Bluish Gray Rangefinder, Pauldron, and Kama, Large Eyes",2011,M,2
sw0315,Clone Shadow ARF Trooper Phase 1 - Large Eyes,2011,M,2
sw0316,Savage Opress,2011,M,0
sw0317,"Anakin Skywalker - Large Eyes, Dark Brown Arms",2011,M,1
sw0318,Asajj Ventress - Black Torso,2011,M,0
sw0319,Ki-Adi-Mundi,2011,M,0
sw0320,Geonosian - Dark Tan,2011,M,0
sw0321,Captain Panaka,2011,M,0
sw0322,"Qui-Gon Jinn - Light Nougat Head, Reddish Brown Legs and Cape",2011,M,0
sw0323,Darth Maul without Hood,2011,M,0
sw0324,Padme Naberrie Amidala,2011,M,0
sw0325,Watto Dark Bluish Gray Hands,2011,M,0
sw0326,Sebulba - Movable Arms,2011,M,0
sw0327,"Anakin Skywalker Short Legs, Helmet",2011,M,0
sw0328,Wald,2011,M,0
sw0329,"Obi-Wan Kenobi Young with Hood and Cape, Tan Legs, Smile",2011,M,0
sw0330,"Clone Trooper Commander Wolffe, 104th Battalion Wolfpack Phase 1 - Black Rangefinder and Kama, Sand Blue Markings, Large Eyes",2011,M,2
sw0331,"Clone Trooper, 104th Battalion Wolfpack Phase 1 - Sand Blue Markings, White Jet Pack, Large Eyes",2011,M,0
sw0332,Eeth Koth,2011,M,1
sw0333,Quinlan Vos,2011,M,0
sw0334,"Han Solo, Black Vest, Dark Blue Legs, Eyes with Pupils",2011,M,0
sw0335,"Luke Skywalker (Tatooine, Gray Visor on Reverse of Head)",2011,M,0
sw0336,"Obi-Wan Kenobi - Old, Light Nougat, Reddish Brown Hood and Cape, White Pupils",2008,M,0
sw0337,"Princess Leia White Dress, Big Eyelashes",2011,M,0
sw0338,Logray (Ewok),2011,M,0
sw0339,Tokkat (Ewok),2011,M,0
sw0340,Naboo Fighter Pilot - Red Jumpsuit,2011,M,0
sw0341,"Clone Trooper Commander Cody, 212th Attack Battalion Phase 1 - Dark Bluish Gray Visor, Large Eyes",2011,M,1
sw0342,Luke Skywalker (Bacta Tank Outfit),2011,M,0
