piece_id,piece_name,type
18291pb01,"Minifigure, Headgear Helmet SW Rebel Cadet with Black Goggles Pattern",PART
18651,"Technic, Axle  2L with Pin with Friction Ridges",PART
18674,"Tile, Round 2 x 2 with Open Stud",PART
18679pb01,Minifigure Armor Shoulder Pads with Neck Protection and Clip on Back with Silver and Red Stripes and SW Imperial Logo on Shoulders Pattern,PART
18684c01pb01,"Minifigure, Headgear Helmet SW Inquisitor with Trans-Red Visor with White Side Insignia Pattern",PART
18858pb01,"Minifigure, Hair Female Mid-Length with Side Part and Orange Hair Highlights Pattern &#40;SW Sabine Wren&#41;",PART
18858pb02,"Minifigure, Hair Female Mid-Length with Side Part and Light Blue and Dark Blue Top Pattern &#40;SW Sabine Wren&#41;",PART
18934pb01,"Minifigure, Head, Modified SW Tusken Raider with Flat Silver Head Spikes Pattern",PART
18986,Minifigure Neck Bracket with 2 Back Studs,PART
19114pb01,"Minifigure, Headgear Helmet SW Imperial Agent with Cheek and Neck Protection with Flat Silver and Red Triangles Pattern &#40;Agent Kallus&#41;",PART
19232pb01,"Minifigure, Head, Modified SW Wookiee, Wullffwarro with Dark Orange Fur Pattern",PART
19232pb02,"Minifigure, Head, Modified SW Wookiee with Dark Tan Fur Pattern",PART
19232pb03,"Minifigure, Head, Modified SW Wookiee with Dark Tan Fur Pattern 2",PART
19305,Minifigure Armor Neck,PART
19888,"Minifigure Cape Cloth, Standard - Spongy Stretchable Fabric - 3.9cm Height",PART
19888pb01,"Minifigure Cape Cloth, Standard with Dark Red and Red Sides - Spongy Stretchable Fabric",PART
19916,"Minifigure, Headgear Helmet SW Darth Vader Type 2 Top",PART
19917,Minifigure Neck Collar SW Darth Vader Helmet Bottom,PART
20482,"Tile, Round 1 x 1 with Bar and Pin Holder",PART
20551pb01,"Minifigure Cape Cloth, High Rounded Collar with Dark Azure and Black Sides &#40;Lando Calrissian&#41;",PART
20877pb01,"Minifigure, Hair Female Short Swept Sideways with Marbled Dark Azure Ends Pattern",PART
20904pb01,"Minifigure, Headgear Helmet SW Stormtrooper Ep. 7 Captain Phasma Rounded Mouth Pattern",PART
20904pb02,"Minifigure, Headgear Helmet SW Stormtrooper Ep. 7 Rounded Mouth Pattern",PART
20904pb03,"Minifigure, Headgear Helmet SW Stormtrooper Ep. 8 Captain Phasma Pointed Mouth Pattern",PART
20904pb04,"Minifigure, Headgear Helmet SW Stormtrooper Ep. 8 Pointed Mouth with Black Stripe on the Right Side Pattern &#40;Executioner&#41;",PART
20904pb05,"Minifigure, Headgear Helmet SW Stormtrooper Ep. 8 Pointed Mouth Pattern",PART
20904pb06,"Minifigure, Headgear Helmet SW Stormtrooper Ep. 9 Sith Trooper Pattern",PART
20905pb01,"Minifigure, Headgear Helmet SW Flametrooper Ep. 7 Pattern",PART
20905pb02,"Minifigure, Headgear Helmet SW Walker Driver Ep. 8 with Light Bluish Gray Stripe on the Right Side Pattern",PART
20907pb01,"Minifigure, Headgear Helmet SW Snowtrooper Ep. 7 Pattern",PART
20908,"Minifigure, Headgear Helmet SW First Order Crew Member",PART
20950pb01,"Minifigure, Headgear Helmet SW Kylo Ren Pattern",PART
20950pb02,"Minifigure, Headgear Helmet SW Kylo Ren with Red Scratches Pattern",PART
20952pb01,"Brick, Round 1 1/2 x 1 1/2 x 2/3 Dome Top with SW BB-8 Droid Head, Small Photoreceptor Pattern",PART
20952pb03,"Brick, Round 1 1/2 x 1 1/2 x 2/3 Dome Top with SW BB-8 Droid Head, Large Photoreceptor Pattern",PART
20953pb01,"Brick, Round 2 x 2 Sphere with Stud / Robot Body with BB-8 Droid Pattern",PART
20953pb02,"Brick, Round 2 x 2 Sphere with Stud / Robot Body with BB-9E Droid Pattern",PART
20954pb01,"Minifigure, Headgear Cap, SW First Order Officer with Silver First Order Insignia Pattern &#40;General Hux&#41;",PART
20954pb02,"Minifigure, Headgear Cap, SW First Order Officer with Black First Order Insignia and Black Flap Pattern",PART
20954pb03,"Minifigure, Headgear Cap, SW First Order Officer with Black, White, and Red First Order Insignia and Black Bill Pattern",PART
21018pb01,Minifigure Poncho Cloth with Camouflage Pattern,PART
21268,"Minifigure, Hair Short Swept Back with Sideburns and Widows Peak",PART
21269,"Minifigure, Hair Swept Back with Widows Peak, Chin Length and Bushy in Back",PART
21417pb01,"Minifigure, Head, Modified SW Unkar Plutt Pattern",PART
21557pb01,"Minifigure, Headgear Helmet with Respiratory Pipe and SW Ep. 7 TIE Fighter Pilot First Order with Two White Lines Pattern",PART
21557pb02,"Minifigure, Headgear Helmet with Respiratory Pipe and SW First Order TIE Fighter Pilot First Order and Red Stripes Pattern",PART
21557pb03,"Minifigure, Headgear Helmet with Respiratory Pipe and SW Ep. 8 TIE Fighter Pilot First Order with Three White Lines Pattern",PART
21566c01pb01,"Minifigure, Headgear Helmet SW Rebel Pilot Raised Front and Microphone with Trans-Yellow Visor with Red and White Stripes and Rebel Logo Pattern",PART
21566c01pb02,"Minifigure, Headgear Helmet SW Rebel Pilot Raised Front and Microphone with Trans-Yellow Visor with Dark Red Stripes and Black Rebel Logo Pattern",PART
21566c01pb03,"Minifigure, Headgear Helmet SW Rebel Pilot Raised Front and Microphone with Trans-Yellow Visor with Black and Blue Stripes and Blue Circle Pattern",PART
21625,Minifigure Poncho Cloth &#40;SW Qui-Gon Jinn&#41;,PART
21777,"Minifigure, Hair Female Ponytail with Tied Sections",PART
21778,"Minifigure, Hair Male with Coiled Texture",PART
21810pb01,"Minifigure, Headgear Helmet SW Ground Crew with Orange and White Panels and Silver Circles Pattern",PART
23186,"Minifigure, Hair Swept Left Tousled",PART
2343,"Minifigure, Utensil Goblet",PART
23850pb01,"Minifigure, Headgear Cap, SW First Order Crew Member with Silver First Order Insignia Pattern",PART
23851,"Minifigure, Visor Chin Guard for SW Resistance Trooper Helmet",PART
23901,"Minifigure Cape Cloth, Tattered Edges &#40;SW Kylo Ren&#41;",PART
23947pb01,"Minifigure, Headgear Helmet SW Resistance Trooper with Molded Trans-Yellow Visor and Printed Tan Rectangles and Black Circles Pattern",PART
23947pb02,"Minifigure, Headgear Helmet SW Resistance Trooper with Molded Trans-Yellow Visor and Printed Tan Rectangle and Black Circles Pattern",PART
23947pb03,"Minifigure, Headgear Helmet SW Resistance Trooper with Molded Trans-Yellow Visor and Printed Black Circles Pattern",PART
24073,"Minifigure, Headgear Wrapped Bandage",PART
2412b,"Tile, Modified 1 x 2 Grille with Bottom Groove / Lip",PART
24135,"Minifigure Breathing Apparatus, Scuba Regulator",PART
2415,"Plate, Modified 2 x 2 Thin with Plane Single Wheel Holder",PART
24217,Minifigure Jet Pack with Nozzles and Stud,PART
24219pb01,"Minifigure, Head, Modified SW Ugnaught with White Sideburns and Hair Pattern",PART
24219pb02,"Minifigure, Head, Modified SW Ugnaught with Medium Nougat Sideburns and Hair Pattern",PART
2432,"Tile, Modified 1 x 2 with Bar Handle",PART
2446pb02a,"Minifigure, Headgear Helmet Motorcycle &#40;Standard&#41; with SW Red Stripe Pattern Large &#40;A-wing&#41;",PART
2446pb02b,"Minifigure, Headgear Helmet Motorcycle &#40;Standard&#41; with SW Red Stripe Pattern Small &#40;A-wing&#41;",PART
2446pb22a,"Minifigure, Headgear Helmet Motorcycle &#40;Standard&#41; with SW Black and Yellow Pattern Large &#40;B-wing&#41;",PART
2446pb22b,"Minifigure, Headgear Helmet Motorcycle &#40;Standard&#41; with SW Black and Yellow Pattern Small &#40;B-wing&#41;",PART
2447,"Minifigure, Visor Standard",PART
2460,"Tile, Modified 2 x 2 with Pin",PART
24601pb01,"Minifigure, Head, Modified SW Maz Kanata Pattern",PART
24791,"Minifigure, Hair Swept Back with Widows Peak, Sideburns and Fluffed Bangs",PART
25128pb008,Body Baby / Toddler with Fixed Arms with Molded Sand Green Hands and Printed Black Lines and Fur Collar Pattern,PART
2516,"Minifigure, Utensil Tool Chainsaw Body with Handles and Studs",PART
2524,Minifigure Backpack Non-Opening,PART
2526,Minifigure Epaulettes,PART
25269,"Tile, Round 1 x 1 Quarter",PART
2540,"Plate, Modified 1 x 2 with Bar Handle on Side - Free Ends",PART
2543,"Minifigure, Headgear Hat, Cloth Wrap / Bandana",PART
2555,"Tile, Modified 1 x 1 with Clip",PART
2569,Antenna Whip 8H,PART
25893,"Plate, Round 1 x 1 with Bar Handle on Short Stem",PART
25972,"Minifigure, Hair Swept Back with Slight Widows Peak and Short Sideburns",PART
26047,"Plate, Round 1 x 1 with Bar Handle",PART
26099pb01,"Minifigure, Head, Modified Reptile with Pearl Dark Gray Breathing Mask Pattern &#40;SW Teedo&#41;",PART
26138,"Minifigure, Headgear Helmet SW Inquisitor Fifth Brother",PART
26139,"Minifigure, Hair Short Wavy with Center Part",PART
26140,Minifigure Armor Shoulder Pads Rounded with Neck Protection and Clip on Back,PART
26140pb01,Minifigure Armor Shoulder Pads Rounded with Neck Protection and Clip on Back with Silver SW Imperial Logo Pattern,PART
2654,"Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)",PART
26793pb01,"Minifigure, Headgear Helmet SW Imperial Death Trooper Pattern",PART
27090pb01,"Minifigure, Headgear Helmet SW Hovertank Pilot Pattern",PART
27090pb02,"Minifigure, Headgear Helmet SW Scarif Stormtrooper Pattern",PART
27090pb03,"Minifigure, Headgear Helmet SW Imperial Transport Pilot Pattern",PART
27130,"Minifigure, Headgear Helmet SW Imperial Ground Crew",PART
27132pb01,"Minifigure, Hair Combo, Hat with Hair, Cap with Flat Silver Headset and Dark Brown Hair Pattern &#40;SW Jyn Erso&#41;",PART
27135pb01,"Minifigure, Headgear Helmet SW Rebel Trooper with Dark Green Top and Yellow Insignia Pattern",PART
27135pb02,"Minifigure, Headgear Helmet SW Rebel Trooper with Red Sides Pattern &#40;Cloud Car Pilot&#41;",PART
27136pb01,"Minifigure, Head, Modified SW Iakaru with Bistan Pattern",PART
27137pb01,"Minifigure, Headgear Helmet SW Rebel Trooper with Pearl Dark Gray Band and Yellow Insignia Pattern",PART
27142pb01,"Torso/Head Mechanical, K-2SO",PART
27145,Minifigure Utility Belt,PART
27321,"Minifigure, Headgear Cap, Neck Protector SW",PART
27321pb01,"Minifigure, Headgear Cap, Neck Protector with Medium Nougat Pattern &#40;SW Pao&#41;",PART
28211pb01,Minifigure Skirt Cloth Hakama with Dark Red Stripes Pattern,PART
28223,Minifigure Poncho Cloth Asymmetric &#40;SW Jyn Erso&#41;,PART
28414c01pb01,"Minifigure, Headgear Helmet SW Rebel Pilot with Trans-Yellow Visor with White Top and Yellow Rebel Insignia on Front Pattern &#40;U-Wing Pilot&#41;",PART
2877,"Brick, Modified 1 x 2 with Grille / Fluted Profile",PART
28792pb01,"Minifigure, Hair Straight Cut with Short Ponytail with Dark Green Eye Cover with Dark Bluish Gray Markings Pattern",PART
29035pb01,"Minifigure, Head, Modified SW Gigoran, Dark Bluish Gray Mask and Front Panel and Dark Brown Belts Pattern &#40;Moroff&#41;",PART
3003,Brick 2 x 2,PART
30033,"Plate, Modified 2 x 2 with Bar Frame Octagonal",PART
3004,Brick 1 x 2,PART
30048,"Minifigure, Headgear Helmet Conquistador",PART
3005,Brick 1 x 1,PART
30088,"Minifigure, Weapon Spear Gun with Rounded Trigger and Thin Spear Base",PART
30089b,"Minifigure, Utensil Camera Handheld Style with Extended Bar Handle",PART
30106,"Minifigure, Utensil Crystal Ball Globe 2 x 2 x 2",PART
30132,"Minifigure, Weapon Gun, Pistol Revolver - Large Barrel",PART
30135,"Minifigure, Headgear Cavalry Cap &#40;Kepi&#41;",PART
30136,"Brick, Modified 1 x 2 with Log Profile",PART
30162,"Minifigure, Utensil Binoculars Town",PART
30170,"Minifigure, Visor Goggles",PART
30171,"Minifigure, Headgear Cap, Aviator",PART
30173,"Minifigure, Weapon Sword, Shamshir/Katana &#40;Octagonal Guard&#41;",PART
30173b,"Minifigure, Weapon Sword, Shamshir/Katana &#40;Square Guard&#41; with Uncapped Pommel and Hole in Hilt",PART
30177,"Minifigure, Headgear Ninja Wrap",PART
30194,"Minifigure, Utensil Tool Circular Blade Saw",PART
3020,Plate 2 x 4,PART
30208,Cylinder Hemisphere 4 x 4 Multifaceted,PART
30209,Bracket 1 x 2 - 4 x 4 Round Dish,PART
3021,Plate 2 x 3,PART
3022,Plate 2 x 2,PART
30229,"Minifigure, Utensil Zipline Handle",PART
3023,Plate 1 x 2,PART
3024,Plate 1 x 1,PART
30311pb01,"Minifigure, Head, Modified SW Protocol Droid with Breathing Mask with Large Copper and Pearl Dark Gray Speckled Eyes Pattern",PART
30325,"Minifigure, Headgear Helmet with Breathing Apparatus and Headlights",PART
30329pb01,"Minifigure, Head, Modified Helmet with Neck Ridges and Red Mask with Red Circle Pattern",PART
30361pb001,"Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Green Pattern (R2-R7)",PART
30361pb003,"Brick, Round 2 x 2 x 2 Robot Body with Black Rectangle Outlines and Lime Pattern (R7-A7)",PART
30361pb004,"Brick, Round 2 x 2 x 2 Robot Body with Blue Lines and Blue Pattern (R2-D2 Clone Wars)",PART
30361pb005,"Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Dark Green Pattern (R4-P44)",PART
30361pb008,"Brick, Round 2 x 2 x 2 Robot Body with Black Rectangle Outlines and White Pattern (R7-D4)",PART
30361pb012,"Brick, Round 2 x 2 x 2 Robot Body with Gold Pattern &#40;R8-B7&#41;",PART
30361pb013,"Brick, Round 2 x 2 x 2 Robot Body with White and Black Pattern (R2-Q2)",PART
30361pb017,"Brick, Round 2 x 2 x 2 Robot Body with Red Lines and Blue Pattern &#40;R5-D8 / R5-D4&#41;",PART
30361pb018,"Brick, Round 2 x 2 x 2 Robot Body with Yellow Lines and Dark Red Pattern (R5-F7)",PART
30361pb019,"Brick, Round 2 x 2 x 2 Robot Body with Black Lines and White Pattern (R3-D5)",PART
30361pb020,"Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Carrots Pattern (Snowman R2-D2)",PART
30361pb022a,"Brick, Round 2 x 2 x 2 Robot Body with Black Full Small Rectangles, Dark Red Lines and Dark Red Pattern &#40;R4-P17&#41;",PART
30361pb022b,"Brick, Round 2 x 2 x 2 Robot Body with Black Outline Small Rectangles, Dark Red Lines and Dark Red Pattern &#40;R4-P17&#41;",PART
30361pb024,"Brick, Round 2 x 2 x 2 Robot Body with Red and Silver Pattern &#40;R4-G0&#41;",PART
30361pb025,"Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Dark Blue Pattern &#40;R2-D2, R3-T2&#41;",PART
30361pb026,"Brick, Round 2 x 2 x 2 Robot Body with Red Pattern",PART
30361pb027,"Brick, Round 2 x 2 x 2 Robot Body with Black Lines and Silver and Tan Pattern &#40;Astromech Droid&#41;",PART
30361pb028,"Brick, Round 2 x 2 x 2 Robot Body with Black Lines and Green Pattern &#40;R2 Unit&#41;",PART
30361pb029,"Brick, Round 2 x 2 x 2 Robot Body with Black Lines and Silver Pattern &#40;Festive Astromech Droid / R2-X2&#41;",PART
30361pb030,"Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Red and Silver Pattern (Imperial Astromech Droid)",PART
30361pb032,"Brick, Round 2 x 2 x 2 Robot Body with Orange Lines Pattern &#40;R3-A2&#41;",PART
30361pb033,"Brick, Round 2 x 2 x 2 Robot Body with Dark Blue Lines and Silver Pattern &#40;Imperial Astromech&#41;",PART
30361pb034,"Brick, Round 2 x 2 x 2 Robot Body with Silver Lines Pattern &#40;R3-S1, R2-BHD&#41;",PART
30361pb035,"Brick, Round 2 x 2 x 2 Robot Body with Dark Brown and Dark Orange Lines Pattern &#40;R3-M2&#41;",PART
30361pb036,"Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Dark Blue with Dark Tan Dirt Stains Pattern &#40;R2-D2&#41;",PART
30361pb039,"Brick, Round 2 x 2 x 2 Robot Body with Dark Tan Lines and Bright Light Orange with Dark Tan Dirt Stains Pattern &#40;R5-A2&#41;",PART
30361pb040,"Brick, Round 2 x 2 x 2 Robot Body with White Lines and Black and Silver Pattern &#40;R2-Q2&#41;",PART
30361pb041,"Brick, Round 2 x 2 x 2 Robot Body with Silver Lines and White and Silver Pattern &#40;Astromech Droid&#41;",PART
30361pb042,"Brick, Round 2 x 2 x 2 Robot Body with Silver Lines and Dark Red Pattern &#40;Astromech Droid U5-GG&#41;",PART
30361px1,"Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Red Pattern (R5-D4)",PART
30361px2,"Brick, Round 2 x 2 x 2 Robot Body with Gray Lines and Blue Pattern (R2-D2)",PART
30361px5,"Brick, Round 2 x 2 x 2 Robot Body with Silver Lines and Copper Pattern &#40;Imperial Astromech Droid&#41;",PART
30362,"Leg Mechanical, Droid with Technic Pin",PART
30368,"Minifigure, Headgear Helmet SW Darth Vader",PART
30371,"Minifigure, Head, Modified SW Gungan Split Eyes Plain",PART
30374,Bar   4L &#40;Lightsaber Blade / Wand&#41;,PART
30375,"Torso Mechanical, Battle Droid",PART
30375pb01,"Torso Mechanical, Battle Droid with Red Dot Insignia Pattern",PART
30375pb02,"Torso Mechanical, Battle Droid with Tan Armor Pattern",PART
30375pb03,"Torso Mechanical, Battle Droid with Orange Dot Pattern",PART
30375ps1,"Torso Mechanical, Battle Droid with Orange Rectangle Pattern",PART
30375ps2,"Torso Mechanical, Battle Droid with Tan Insignia Pattern",PART
30375ps3,"Torso Mechanical, Battle Droid with Blue Insignia Pattern",PART
30375ps4,"Torso Mechanical, Battle Droid with Yellow Dot Pattern",PART
30376,"Legs Mechanical, Battle Droid",PART
30377,"Arm Mechanical, Battle Droid",PART
30378,"Minifigure, Head, Modified Mechanical Plain &#40;SW Battle Droid&#41;",PART
30378pb001,"Minifigure, Head, Modified Mechanical &#40;SW Battle Droid&#41; with Olive Green and Dark Green Insignia Pattern",PART
30378ps1,"Minifigure, Head, Modified Mechanical &#40;SW Battle Droid&#41; with Orange Insignia Pattern",PART
30378ps2,"Minifigure, Head, Modified Mechanical &#40;SW Battle Droid&#41; with Dark Red Insignia Pattern",PART
30378ps3,"Minifigure, Head, Modified Mechanical &#40;SW Battle Droid&#41; with Yellow Insignia Pattern",PART
30380,"Minifigure, Headgear Helmet SW Rocket Pack",PART
30381,"Minifigure, Headgear Hood",PART
30386,"Hinge Brick 1 x 2 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 Teeth",PART
3040,Slope 45 2 x 1,PART
30408p01,"Minifigure, Headgear Helmet SW Stormtrooper Pattern",PART
30408p02,"Minifigure, Headgear Helmet SW Stormtrooper, TIE Pilot Pattern",PART
30408pb03,"Minifigure, Headgear Helmet SW Stormtrooper, 2 Chin Holes and Dirt Stains Pattern",PART
30408pb04,"Minifigure, Headgear Helmet SW Stormtrooper, 2 Chin Holes, Special Forces Commander Pattern",PART
